InputGrid,Grid,Ns,Nt,TFITotalMedianSeconds,GridGeneratorMedianSeconds,GridGeneratorOverTFI
Soft C,21 x 21,21,21,0.00434733333333333,0.795922291666667,183.082876476001
Soft C,41 x 41,41,41,0.00279379166666667,0.988823833333333,353.936138163487
Soft C,81 x 81,81,81,0.003736125,1.61194158333333,431.447444433292
Soft C,41 x 21,41,21,0.00574525,0.945016833333333,164.486633885964
Hard C,21 x 21,21,21,0.00794570833333333,0.942741541666667,118.647891681568
Hard C,41 x 41,41,41,0.00337016666666667,1.37241158333333,407.223653627417
Hard C,81 x 81,81,81,0.0143567916666667,2.55217983333333,177.768117876847
Hard C,41 x 21,41,21,0.026293625,1.57877229166667,60.0439190741736
Chevron,21 x 21,21,21,0.00965579166666667,1.20171825,124.455693689884
Chevron,41 x 41,41,41,0.00301858333333333,1.17328729166667,388.688057311653
Chevron,81 x 81,81,81,0.00285625,1.41808454166667,496.484741064916
Chevron,41 x 21,41,21,0.00243783333333333,0.713862666666667,292.826690367129
