InputGrid,Grid,Ns,Nt,Nsteps,Trial,Method,Seconds,Status,Message
Soft C,21 x 21,21,21,10,1,Input grid_fun call,0.003742,ok,
Soft C,21 x 21,21,21,10,1,Transfinite interpolation only,0.00465729166666667,ok,
Soft C,21 x 21,21,21,10,1,Transfinite total,0.00839929166666667,ok,
Soft C,21 x 21,21,21,10,1,gridGenerator total,0.887096333333333,ok,
Soft C,21 x 21,21,21,10,2,Input grid_fun call,0.00206908333333333,ok,
Soft C,21 x 21,21,21,10,2,Transfinite interpolation only,0.00227825,ok,
Soft C,21 x 21,21,21,10,2,Transfinite total,0.00434733333333333,ok,
Soft C,21 x 21,21,21,10,2,gridGenerator total,0.875428625,ok,
Soft C,21 x 21,21,21,10,3,Input grid_fun call,0.0177066666666667,ok,
Soft C,21 x 21,21,21,10,3,Transfinite interpolation only,0.00193375,ok,
Soft C,21 x 21,21,21,10,3,Transfinite total,0.0196404166666667,ok,
Soft C,21 x 21,21,21,10,3,gridGenerator total,0.770691291666667,ok,
Soft C,21 x 21,21,21,10,4,Input grid_fun call,0.00145120833333333,ok,
Soft C,21 x 21,21,21,10,4,Transfinite interpolation only,0.000723416666666667,ok,
Soft C,21 x 21,21,21,10,4,Transfinite total,0.002174625,ok,
Soft C,21 x 21,21,21,10,4,gridGenerator total,0.687401625,ok,
Soft C,21 x 21,21,21,10,5,Input grid_fun call,0.002233,ok,
Soft C,21 x 21,21,21,10,5,Transfinite interpolation only,0.00114495833333333,ok,
Soft C,21 x 21,21,21,10,5,Transfinite total,0.00337795833333333,ok,
Soft C,21 x 21,21,21,10,5,gridGenerator total,0.795922291666667,ok,
Soft C,41 x 41,41,41,10,1,Input grid_fun call,0.00198825,ok,
Soft C,41 x 41,41,41,10,1,Transfinite interpolation only,0.000797083333333333,ok,
Soft C,41 x 41,41,41,10,1,Transfinite total,0.00278533333333333,ok,
Soft C,41 x 41,41,41,10,1,gridGenerator total,0.949238375,ok,
Soft C,41 x 41,41,41,10,2,Input grid_fun call,0.00191291666666667,ok,
Soft C,41 x 41,41,41,10,2,Transfinite interpolation only,0.00122104166666667,ok,
Soft C,41 x 41,41,41,10,2,Transfinite total,0.00313395833333333,ok,
Soft C,41 x 41,41,41,10,2,gridGenerator total,1.08551975,ok,
Soft C,41 x 41,41,41,10,3,Input grid_fun call,0.00342983333333333,ok,
Soft C,41 x 41,41,41,10,3,Transfinite interpolation only,0.003331625,ok,
Soft C,41 x 41,41,41,10,3,Transfinite total,0.00676145833333333,ok,
Soft C,41 x 41,41,41,10,3,gridGenerator total,1.02171754166667,ok,
Soft C,41 x 41,41,41,10,4,Input grid_fun call,0.00149591666666667,ok,
Soft C,41 x 41,41,41,10,4,Transfinite interpolation only,0.000983375,ok,
Soft C,41 x 41,41,41,10,4,Transfinite total,0.00247929166666667,ok,
Soft C,41 x 41,41,41,10,4,gridGenerator total,0.909567291666667,ok,
Soft C,41 x 41,41,41,10,5,Input grid_fun call,0.00182604166666667,ok,
