InputGrid,Grid,Ns,Nt,Method,Nok,Ntrials,Nfailed,MeanSeconds,MedianSeconds,StdSeconds,MinSeconds,MaxSeconds
Soft C,21 x 21,21,21,Input grid_fun call,5,5,0,0.00544039166666667,0.002233,0.00690855812521285,0.00145120833333333,0.0177066666666667
Soft C,21 x 21,21,21,Transfinite interpolation only,5,5,0,0.00214753333333333,0.00193375,0.00153255847875329,0.000723416666666667,0.00465729166666667
Soft C,21 x 21,21,21,Transfinite total,5,5,0,0.007587925,0.00434733333333333,0.00713179398569114,0.002174625,0.0196404166666667
Soft C,21 x 21,21,21,gridGenerator total,5,5,0,0.803308033333333,0.795922291666667,0.0818146616886153,0.687401625,0.887096333333333
Soft C,41 x 41,41,41,Input grid_fun call,5,5,0,0.00213059166666667,0.00191291666666667,0.00075020589210933,0.00149591666666667,0.00342983333333333
Soft C,41 x 41,41,41,Transfinite interpolation only,5,5,0,0.001460175,0.000983375,0.00105700296033631,0.000797083333333333,0.003331625
Soft C,41 x 41,41,41,Transfinite total,5,5,0,0.00359076666666667,0.00279379166666667,0.00178754217986364,0.00247929166666667,0.00676145833333333
Soft C,41 x 41,41,41,gridGenerator total,5,5,0,0.990973358333333,0.988823833333333,0.0675603470382542,0.909567291666667,1.08551975
Soft C,81 x 81,81,81,Input grid_fun call,5,5,0,0.00235473333333333,0.00237966666666667,0.000454179510139499,0.00162279166666667,0.002796125
Soft C,81 x 81,81,81,Transfinite interpolation only,5,5,0,0.001276925,0.00134791666666667,0.000244276314615119,0.000860291666666667,0.00150570833333333
Soft C,81 x 81,81,81,Transfinite total,5,5,0,0.00363165833333333,0.003736125,0.000679022681184141,0.00248308333333333,0.0041645
Soft C,81 x 81,81,81,gridGenerator total,5,5,0,1.57922244166667,1.61194158333333,0.0940324225549912,1.47575308333333,1.66408458333333
Soft C,41 x 21,41,21,Input grid_fun call,5,5,0,0.00352648333333333,0.00348929166666667,0.00211374289345182,0.00118433333333333,0.00653220833333333
Soft C,41 x 21,41,21,Transfinite interpolation only,5,5,0,0.0025505,0.00182833333333333,0.00239253971652278,0.000666416666666667,0.00668991666666667
Soft C,41 x 21,41,21,Transfinite total,5,5,0,0.00607698333333333,0.00574525,0.00329222180189639,0.00185075,0.0101792083333333
Soft C,41 x 21,41,21,gridGenerator total,5,5,0,0.959197366666667,0.945016833333333,0.180947248146618,0.762636125,1.248264625
Hard C,21 x 21,21,21,Input grid_fun call,5,5,0,0.009722925,0.00581329166666667,0.00698670013425309,0.00323570833333333,0.019173375
Hard C,21 x 21,21,21,Transfinite interpolation only,5,5,0,0.00282539166666667,0.00213241666666667,0.00170311196748327,0.00130616666666667,0.00568829166666667
Hard C,21 x 21,21,21,Transfinite total,5,5,0,0.0125483166666667,0.00794570833333333,0.00857797268912544,0.004541875,0.0248616666666667
Hard C,21 x 21,21,21,gridGenerator total,5,5,0,0.962727108333333,0.942741541666667,0.13674241177257,0.817165625,1.188825875
Hard C,41 x 41,41,41,Input grid_fun call,5,5,0,0.00497939166666667,0.00209483333333333,0.00571371578408348,0.001365625,0.0149479583333333
Hard C,41 x 41,41,41,Transfinite interpolation only,5,5,0,0.00251725,0.00127533333333333,0.00290878804348898,0.000765916666666667,0.00766
Hard C,41 x 41,41,41,Transfinite total,5,5,0,0.00749664166666667,0.00337016666666667,0.00861597303455147,0.00213154166666667,0.0226079583333333
Hard C,41 x 41,41,41,gridGenerator total,5,5,0,1.4649495,1.37241158333333,0.43155090213545,1.11723275,2.18047804166667
Hard C,81 x 81,81,81,Input grid_fun call,5,5,0,0.00823626666666667,0.0100482916666667,0.00475440334173885,0.00283679166666667,0.01395425
Hard C,81 x 81,81,81,Transfinite interpolation only,5,5,0,0.006803075,0.0043085,0.00568445583301821,0.00179604166666667,0.0133810833333333
Hard C,81 x 81,81,81,Transfinite total,5,5,0,0.0150393416666667,0.0143567916666667,0.010024857724096,0.00489291666666667,0.026427875
Hard C,81 x 81,81,81,gridGenerator total,5,5,0,2.40726234166667,2.55217983333333,0.328324684323633,1.97623633333333,2.69677245833333
Hard C,41 x 21,41,21,Input grid_fun call,5,5,0,0.0201025916666667,0.0147995833333333,0.0150979617414119,0.0103193333333333,0.04676675
Hard C,41 x 21,41,21,Transfinite interpolation only,5,5,0,0.0384450166666667,0.0142114166666667,0.0434760803790988,0.00756933333333333,0.11002425
Hard C,41 x 21,41,21,Transfinite total,5,5,0,0.0585476083333333,0.026293625,0.0495559311798155,0.0210244166666667,0.126569333333333
Hard C,41 x 21,41,21,gridGenerator total,5,5,0,1.68587003333333,1.57877229166667,0.50435844869807,1.02718845833333,2.232101625
Chevron,21 x 21,21,21,Input grid_fun call,5,5,0,0.0080594,0.005439625,0.00750532832917027,0.001082,0.0205475833333333
Chevron,21 x 21,21,21,Transfinite interpolation only,5,5,0,0.00356976666666667,0.003507,0.00248269390233142,0.000868833333333333,0.00733920833333333
Chevron,21 x 21,21,21,Transfinite total,5,5,0,0.0116291666666667,0.00965579166666667,0.00866594416123997,0.00195083333333333,0.0240545833333333
Chevron,21 x 21,21,21,gridGenerator total,5,5,0,1.23517065833333,1.20171825,0.189249803767983,0.962334125,1.47032408333333
Chevron,41 x 41,41,41,Input grid_fun call,5,5,0,0.00473490833333333,0.001820625,0.00672010757152865,0.00121170833333333,0.016742375
Chevron,41 x 41,41,41,Transfinite interpolation only,5,5,0,0.0052695,0.00121320833333333,0.0092668481385858,0.000893583333333333,0.0218440416666667
Chevron,41 x 41,41,41,Transfinite total,5,5,0,0.0100044083333333,0.00301858333333333,0.0159813772835391,0.0022845,0.0385864166666667
Chevron,41 x 41,41,41,gridGenerator total,5,5,0,1.33783540833333,1.17328729166667,0.271545002361186,1.109336625,1.69172691666667
Chevron,81 x 81,81,81,Input grid_fun call,5,5,0,0.002010475,0.0017625,0.000979051130417724,0.001075,0.00363295833333333
Chevron,81 x 81,81,81,Transfinite interpolation only,5,5,0,0.00109128333333333,0.001083875,0.00016483946420179,0.000950375,0.00135575
Chevron,81 x 81,81,81,Transfinite total,5,5,0,0.00310175833333333,0.00285625,0.000996839757039855,0.00203045833333333,0.00474391666666667
Chevron,81 x 81,81,81,gridGenerator total,5,5,0,1.40680035833333,1.41808454166667,0.0329369333302719,1.36025325,1.43584891666667
Chevron,41 x 21,41,21,Input grid_fun call,5,5,0,0.0012677,0.00134116666666667,0.000324734784146574,0.000907,0.001622
Chevron,41 x 21,41,21,Transfinite interpolation only,5,5,0,0.001056475,0.00107179166666667,0.00030260196657261,0.000635291666666667,0.00148520833333333
Chevron,41 x 21,41,21,Transfinite total,5,5,0,0.002324175,0.00243783333333333,0.000445177101150642,0.00154229166666667,0.00261925
Chevron,41 x 21,41,21,gridGenerator total,5,5,0,0.720964616666667,0.713862666666667,0.0170057129489551,0.705136875,0.742212458333333
