InputGrid,Grid,Ns,Nt,Nsteps,Trial,Method,Seconds,Status,Message
Soft C,21 x 21,21,21,10,1,Input grid_fun call,0.003253625,ok,
Soft C,21 x 21,21,21,10,1,Transfinite interpolation only,0.00091675,ok,
Soft C,21 x 21,21,21,10,1,Transfinite total,0.004170375,ok,
Soft C,21 x 21,21,21,10,1,gridGenerator total,0.744037541666667,ok,
Soft C,21 x 21,21,21,10,2,Input grid_fun call,0.00149391666666667,ok,
Soft C,21 x 21,21,21,10,2,Transfinite interpolation only,0.000700375,ok,
Soft C,21 x 21,21,21,10,2,Transfinite total,0.00219429166666667,ok,
Soft C,21 x 21,21,21,10,2,gridGenerator total,0.673436583333333,ok,
Soft C,21 x 21,21,21,10,3,Input grid_fun call,0.00138554166666667,ok,
Soft C,21 x 21,21,21,10,3,Transfinite interpolation only,0.00080025,ok,
Soft C,21 x 21,21,21,10,3,Transfinite total,0.00218579166666667,ok,
Soft C,21 x 21,21,21,10,3,gridGenerator total,0.717437708333333,ok,
Soft C,21 x 21,21,21,10,4,Input grid_fun call,0.00644370833333333,ok,
Soft C,21 x 21,21,21,10,4,Transfinite interpolation only,0.00253466666666667,ok,
Soft C,21 x 21,21,21,10,4,Transfinite total,0.008978375,ok,
Soft C,21 x 21,21,21,10,4,gridGenerator total,0.735076833333333,ok,
Soft C,21 x 21,21,21,10,5,Input grid_fun call,0.001349625,ok,
Soft C,21 x 21,21,21,10,5,Transfinite interpolation only,0.000888083333333333,ok,
Soft C,21 x 21,21,21,10,5,Transfinite total,0.00223770833333333,ok,
Soft C,21 x 21,21,21,10,5,gridGenerator total,0.97410875,ok,
Soft C,41 x 41,41,41,10,1,Input grid_fun call,0.00406883333333333,ok,
Soft C,41 x 41,41,41,10,1,Transfinite interpolation only,0.00156779166666667,ok,
Soft C,41 x 41,41,41,10,1,Transfinite total,0.005636625,ok,
Soft C,41 x 41,41,41,10,1,gridGenerator total,1.17351729166667,ok,
Soft C,41 x 41,41,41,10,2,Input grid_fun call,0.00239004166666667,ok,
Soft C,41 x 41,41,41,10,2,Transfinite interpolation only,0.00145358333333333,ok,
Soft C,41 x 41,41,41,10,2,Transfinite total,0.003843625,ok,
Soft C,41 x 41,41,41,10,2,gridGenerator total,1.188691625,ok,
Soft C,41 x 41,41,41,10,3,Input grid_fun call,0.001946625,ok,
Soft C,41 x 41,41,41,10,3,Transfinite interpolation only,0.00126191666666667,ok,
Soft C,41 x 41,41,41,10,3,Transfinite total,0.00320854166666667,ok,
Soft C,41 x 41,41,41,10,3,gridGenerator total,0.97660825,ok,
Soft C,41 x 41,41,41,10,4,Input grid_fun call,0.00113020833333333,ok,
Soft C,41 x 41,41,41,10,4,Transfinite interpolation only,0.00073225,ok,
Soft C,41 x 41,41,41,10,4,Transfinite total,0.00186245833333333,ok,
Soft C,41 x 41,41,41,10,4,gridGenerator total,1.10650825,ok,
Soft C,41 x 41,41,41,10,5,Input grid_fun call,0.00285341666666667,ok,
Soft C,41 x 41,41,41,10,5,Transfinite interpolation only,0.00129870833333333,ok,
Soft C,41 x 41,41,41,10,5,Transfinite total,0.004152125,ok,
Soft C,41 x 41,41,41,10,5,gridGenerator total,1.25845083333333,ok,
Soft C,81 x 81,81,81,10,1,Input grid_fun call,0.00177829166666667,ok,
