InputGrid,Grid,Ns,Nt,Method,Nok,Ntrials,Nfailed,MeanSeconds,MedianSeconds,StdSeconds,MinSeconds,MaxSeconds
Soft C,21 x 21,21,21,Input grid_fun call,5,5,0,0.00278528333333333,0.00149391666666667,0.00219610091119529,0.001349625,0.00644370833333333
Soft C,21 x 21,21,21,Transfinite interpolation only,5,5,0,0.001168025,0.000888083333333333,0.000768630418431959,0.000700375,0.00253466666666667
Soft C,21 x 21,21,21,Transfinite total,5,5,0,0.00395330833333333,0.00223770833333333,0.00293512994187556,0.00218579166666667,0.008978375
Soft C,21 x 21,21,21,gridGenerator total,5,5,0,0.768819483333333,0.735076833333333,0.11793470490582,0.673436583333333,0.97410875
Soft C,41 x 41,41,41,Input grid_fun call,5,5,0,0.002477825,0.00239004166666667,0.00109296919566546,0.00113020833333333,0.00406883333333333
Soft C,41 x 41,41,41,Transfinite interpolation only,5,5,0,0.00126285,0.00129870833333333,0.000321010776958673,0.00073225,0.00156779166666667
Soft C,41 x 41,41,41,Transfinite total,5,5,0,0.003740675,0.003843625,0.00137707842359185,0.00186245833333333,0.005636625
Soft C,41 x 41,41,41,gridGenerator total,5,5,0,1.14075525,1.17351729166667,0.106466652497957,0.97660825,1.25845083333333
Soft C,81 x 81,81,81,Input grid_fun call,5,5,0,0.00842900833333333,0.001817125,0.0135202891736736,0.00128570833333333,0.0324886666666667
Soft C,81 x 81,81,81,Transfinite interpolation only,5,5,0,0.00236071666666667,0.001447,0.00237283308208072,0.000864041666666667,0.006570375
Soft C,81 x 81,81,81,Transfinite total,5,5,0,0.010789725,0.00322529166666667,0.0158875131277975,0.00214975,0.0390590416666667
Soft C,81 x 81,81,81,gridGenerator total,5,5,0,1.620577325,1.65046595833333,0.131712400324406,1.40476491666667,1.76457170833333
Soft C,41 x 21,41,21,Input grid_fun call,5,5,0,0.00603294166666667,0.00298433333333333,0.0064518197870645,0.001862125,0.01730525
Soft C,41 x 21,41,21,Transfinite interpolation only,5,5,0,0.001520225,0.00161895833333333,0.000559811772837035,0.000916041666666667,0.00208808333333333
Soft C,41 x 21,41,21,Transfinite total,5,5,0,0.00755316666666667,0.00458854166666667,0.00659348515252725,0.00277816666666667,0.0189242083333333
Soft C,41 x 21,41,21,gridGenerator total,5,5,0,1.46499005833333,1.47607541666667,0.387576509187244,0.871200375,1.8332155
Hard C,21 x 21,21,21,Input grid_fun call,5,5,0,0.00334438333333333,0.00204445833333333,0.00296518836359467,0.00121408333333333,0.00844545833333333
Hard C,21 x 21,21,21,Transfinite interpolation only,5,5,0,0.00256106666666667,0.00106595833333333,0.00254828125127316,0.0007085,0.00667791666666667
Hard C,21 x 21,21,21,Transfinite total,5,5,0,0.00590545,0.00311041666666667,0.00467654113035731,0.00192258333333333,0.0118595416666667
Hard C,21 x 21,21,21,gridGenerator total,5,5,0,0.9080611,0.897408916666667,0.246542080269716,0.644873625,1.2863205
Hard C,41 x 41,41,41,Input grid_fun call,5,5,0,0.00196398333333333,0.00186054166666667,0.000781440126087548,0.00117133333333333,0.00308108333333333
Hard C,41 x 41,41,41,Transfinite interpolation only,5,5,0,0.00126440833333333,0.00115766666666667,0.000506975974152677,0.000802958333333333,0.00201725
Hard C,41 x 41,41,41,Transfinite total,5,5,0,0.00322839166666667,0.00301820833333333,0.00128751636943477,0.00197429166666667,0.00509833333333333
Hard C,41 x 41,41,41,gridGenerator total,5,5,0,1.1707032,1.11805495833333,0.192108000193288,1.01394845833333,1.50364504166667
Hard C,81 x 81,81,81,Input grid_fun call,5,5,0,0.0028014,0.00261520833333333,0.00114177984255029,0.00170270833333333,0.00465583333333333
Hard C,81 x 81,81,81,Transfinite interpolation only,5,5,0,0.001666675,0.00159616666666667,0.000530571149112759,0.00111704166666667,0.00247729166666667
Hard C,81 x 81,81,81,Transfinite total,5,5,0,0.004468075,0.00445470833333333,0.00165756372986875,0.00281975,0.007133125
Hard C,81 x 81,81,81,gridGenerator total,5,5,0,1.60720426666667,1.5010365,0.262717833807537,1.45221766666667,2.07466008333333
Hard C,41 x 21,41,21,Input grid_fun call,5,5,0,0.00290895833333333,0.00246854166666667,0.00133482415450032,0.00157570833333333,0.00478366666666667
Hard C,41 x 21,41,21,Transfinite interpolation only,5,5,0,0.004243775,0.00310645833333333,0.00368439464142818,0.000889625,0.009175375
Hard C,41 x 21,41,21,Transfinite total,5,5,0,0.00715273333333333,0.005575,0.00501393110481035,0.00246533333333333,0.0139590416666667
Hard C,41 x 21,41,21,gridGenerator total,5,5,0,0.828820666666667,0.791497666666667,0.134559399689348,0.692245791666667,1.01124291666667
Swan,21 x 21,21,21,Input grid_fun call,5,5,0,0.003344825,0.00163941666666667,0.00379054454966382,0.0011845,0.0100734583333333
Swan,21 x 21,21,21,Transfinite interpolation only,5,5,0,0.00143670833333333,0.00140445833333333,0.000613812471362386,0.00073,0.00215375
Swan,21 x 21,21,21,Transfinite total,5,5,0,0.00478153333333333,0.003043875,0.00426176793540463,0.00213108333333333,0.0122272083333333
Swan,21 x 21,21,21,gridGenerator total,5,5,0,0.726260875,0.68542375,0.110238083074278,0.633516125,0.891939625
Swan,41 x 41,41,41,Input grid_fun call,5,5,0,0.00747491666666667,0.00658079166666667,0.00377323568617212,0.00322258333333333,0.013413875
Swan,41 x 41,41,41,Transfinite interpolation only,5,5,0,0.0118242,0.00804379166666667,0.0111143365426131,0.00124895833333333,0.0254663333333333
